,mean,std,p2.5,p50,p97.5
RDOC,32.147955485238974,9.81204753406712,13.55216047590303,32.15646947233752,50.68337557128602
a,0.18300067492881875,0.05575377668053299,0.07620582925231674,0.18310456902218697,0.28862394499231186
b,0.052679657817218596,0.01807469104156005,0.020789377443683057,0.05223042544756981,0.08842402331680062
c,0.024076276256661696,0.011007671949419665,0.0033435200796727393,0.02408000215900014,0.04497798267133502
d,0.06384809234343412,0.030609266381385256,0.008298844595209503,0.06319384353627658,0.12283023396241505
POCs,10.405226495965586,6.665522149727525,2.4825144627862206,8.789652143744483,27.943164385008984
POCb,4.771870846819265,3.4872826161858885,0.4879531712767192,3.969891051755266,13.80370883025824
POCt,12.5915588677879,9.335507330788127,1.2579730775640454,10.41657170911679,36.56954784633761
C,59.91661169581171,23.03214091196291,23.449505109936723,57.31025145851642,112.90775273591255
